X,Y,Z,DENS,E,NU
-11.2218,-84.3483,-974.218,-276.499,-nan(ind),N/A
-4.58055,-88.6713,-986.449,120.242,455276,N/A
11.0101,-70.9767,-985.19,610.534,2.50733e+06,N/A
6.43872,-92.2561,-982.45,-276.499,-nan(ind),N/A
0.663275,-70.4975,-978.804,-276.499,-nan(ind),N/A
13.1357,-90.0461,-992.11,610.534,2.50733e+06,N/A
2.58395,-88.6486,-965.679,-276.499,-nan(ind),N/A
22.5199,-74.5758,-973.153,610.534,2.50733e+06,N/A
-4.1164,-82.8006,-975.374,-276.499,-nan(ind),N/A
-3.06602,-92.5968,-966.397,-276.499,-nan(ind),N/A
-7.74573,-82.2072,-967.974,120.242,455276,N/A
-8.68768,-73.7206,-988.412,610.534,2.50733e+06,N/A
-16.4376,-79.4664,-962.646,610.534,2.50733e+06,N/A
10.9116,-95.5042,-989.89,610.534,2.50733e+06,N/A
-12.9086,-96.121,-989.755,610.534,2.50733e+06,N/A
-6.0839,-84.0783,-973.384,-276.499,-nan(ind),N/A
-7.73532,-69.3526,-989.195,610.534,2.50733e+06,N/A
2.52145,-61.6755,-965.921,610.534,2.50733e+06,N/A
12.7861,-66.6933,-969.37,610.534,2.50733e+06,N/A
-24.3121,-72.2671,-967.07,610.534,2.50733e+06,N/A
-13.52,-80.1982,-987.353,610.534,2.50733e+06,N/A
2.35723,-67.7545,-968.854,120.242,455276,N/A
-11.8155,-86.7221,-972.586,-276.499,-nan(ind),N/A
-16.1942,-88.1725,-978.047,-276.499,-nan(ind),N/A
2.83,-79.7067,-975.894,-276.499,-nan(ind),N/A
-6.06302,-94.2215,-966.396,610.534,2.50733e+06,N/A
-17.1058,-72.4043,-975.167,-276.499,-nan(ind),N/A
-7.58165,-64.8301,-983.904,610.534,2.50733e+06,N/A
1.72317,-89.5394,-966.442,-276.499,-nan(ind),N/A
0.517325,-65.7384,-969.823,120.242,455276,N/A
-17.025,-88.1545,-971.801,610.534,2.50733e+06,N/A
16.4606,-84.6196,-975.288,-276.499,-nan(ind),N/A
12.2832,-67.7516,-969.52,610.534,2.50733e+06,N/A
7.35367,-85.9595,-979.13,-276.499,-nan(ind),N/A
-10.1338,-78.3069,-966.071,610.534,2.50733e+06,N/A
-24.6158,-71.4377,-982.205,-276.499,-nan(ind),N/A
-12.9257,-82.4775,-964.254,610.534,2.50733e+06,N/A
-2.36017,-84.2966,-967.635,-276.499,-nan(ind),N/A
8.57225,-84.1059,-973.756,-276.499,-nan(ind),N/A
-5.58613,-70.1699,-972.585,25.368,88862.2,N/A
